A,P,sigma,kappa,I_kA,B_T,mark
0.05605381165919283,3.58421,0.35,1.83,400.0,0.8,0
0.05605381165919283,3.85789,0.35,1.83,400.0,0.8,0
0.05605381165919283,4.13158,0.35,1.83,400.0,0.8,0
0.05605381165919283,4.40526,0.35,1.83,400.0,0.8,0
0.05605381165919283,4.67895,0.35,1.83,400.0,0.8,0
0.05605381165919283,4.95263,0.35,1.83,400.0,0.8,0
0.05605381165919283,5.22632,0.35,1.83,400.0,0.8,0
0.05605381165919283,5.5,0.35,1.83,400.0,0.8,1
0.06157635467980296,0.3,0.35,1.83,400.0,0.8,0
0.06157635467980296,0.57368,0.35,1.83,400.0,0.8,0
0.06157635467980296,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.06157635467980296,1.12105,0.35,1.83,400.0,0.8,0
0.06157635467980296,1.39474,0.35,1.83,400.0,0.8,0
0.06157635467980296,1.66842,0.35,1.83,400.0,0.8,0
0.06157635467980296,1.94211,0.35,1.83,400.0,0.8,0
0.06157635467980296,2.21579,0.35,1.83,400.0,0.8,0
0.06157635467980296,2.48947,0.35,1.83,400.0,0.8,0
0.06157635467980296,2.76316,0.35,1.83,400.0,0.8,0
0.06157635467980296,3.03684,0.35,1.83,400.0,0.8,0
0.06157635467980296,3.31053,0.35,1.83,400.0,0.8,0
0.06157635467980296,3.58421,0.35,1.83,400.0,0.8,0
0.06157635467980296,3.85789,0.35,1.83,400.0,0.8,0
0.06157635467980296,4.13158,0.35,1.83,400.0,0.8,0
0.06157635467980296,4.40526,0.35,1.83,400.0,0.8,0
0.06157635467980296,4.67895,0.35,1.83,400.0,0.8,0
0.06157635467980296,4.95263,0.35,1.83,400.0,0.8,0
0.06157635467980296,5.22632,0.35,1.83,400.0,0.8,1
0.06157635467980296,5.5,0.35,1.83,400.0,0.8,1
0.06710328537685205,0.3,0.35,1.83,400.0,0.8,0
0.06710328537685205,0.57368,0.35,1.83,400.0,0.8,0
0.06710328537685205,0.8473699999999998,0.35,1.83,400.0,0.8,0
0.06710328537685205,1.12105,0.35,1.83,400.0,0.8,0
0.06710328537685205,1.39474,0.35,1.83,400.0,0.8,0
0.06710328537685205,1.66842,0.35,1.83,400.0,0.8,0
0.06710328537685205,1.94211,0.35,1.83,400.0,0.8,0
0.06710328537685205,2.21579,0.35,1.83,400.0,0.8,0
0.06710328537685205,2.48947,0.35,1.83,400.0,0.8,0
0.06710328537685205,2.76316,0.35,1.83,400.0,0.8,0
0.06710328537685205,3.03684,0.35,1.83,400.0,0.8,0
